SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
600001.SH,0.005822766714551184,-0.004018853593764764,-0.0015799379637747252,-0.02637298246892185,-0.0229959714147493,-0.07146430366031283,-0.029848896080762244,-0.07807393827938666,-0.02286462586987237,0.13709700140253847,-0.10173238130181703,0.007760591999305371,0.29689683289520047,-0.41822026731845086,-0.8090412734829762,0.1982363974635371
600002.SH,3.328789191013088e-08,-1.0191436688248737e-08,0.03035115820252434,-1.3195997623059402e-07,-1.6288623062820173e-07,-6.618523179282041e-08,7.078490974409572e-08,-6.824310245034536e-07,-1.5974992217201637e-07,9.669257883466774e-07,-5.850671469655934e-07,0.9995392974695217,2.0080208503102628e-06,-7.641305419765563e-07,-1.8474323833674435e-06,-2.194932337524353e-07
600003.SH,-1.3147495372192204e-07,2.912692143056642e-09,3.078736781329193e-07,1.1709095518584335e-07,0.9999999998754311,3.8357051469616897e-07,-7.831541711933955e-07,1.0255560706852366e-06,7.567781676718692e-07,-1.1407165546909344e-06,2.3692458405190554e-06,2.3844321415503817e-06,-1.0455066483531868e-05,-1.7843060105311265e-06,9.467849245132224e-06,5.647530383124241e-06
600004.SH,5.627470918664881e-10,-1.4920583044345762e-11,-1.5020597201143845e-09,-1.0262895841419243e-09,-4.134969730209854e-09,-7.925390438246494e-09,7.540270564312917e-08,0.9999999999999892,3.736256440025675e-08,-4.447539809744959e-08,7.520864974948381e-08,3.229419133382236e-08,-5.844372744492943e-08,-8.287430025480629e-09,4.403435126823029e-08,2.0934732006725596e-08
600005.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600006.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600007.SH,9.64984439561447e-08,-3.032760188810875e-08,0.9985064879502485,-3.882445450243626e-07,-4.6434664049526005e-07,-1.7116763315323732e-07,1.3463800081361286e-07,-1.921852937997523e-06,-3.628609721235352e-07,2.689978797980688e-06,-1.3015774661687505e-06,-0.05463326294371203,6.7864083306791725e-06,-2.170382405626949e-06,-6.0540276391137124e-06,-8.870700729140092e-07
600008.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600009.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600010.SH,1.1966015010166515e-09,-2.8441587367030425e-11,-3.139939271580704e-09,-1.9151024133201097e-09,-7.863809091013464e-09,-1.1736649909730535e-08,4.587514454487965e-08,-7.977970268522816e-08,-1.633760435791618e-07,5.623216496158664e-07,0.999999999999791,1.3469563775881622e-07,-1.7020046597079404e-07,-2.426526523126808e-08,1.246565816269324e-07,5.7285788077776305e-08
600011.SH,-0.007159965170781746,0.00016628014967159382,0.016827551561474044,0.006958246823474276,0.027342439767846623,0.022080113767824164,-0.04674111890627022,0.0607038879575424,0.04415634266482793,-0.06784140796555832,0.13971182399956586,0.14478373242018963,-0.663224640118639,-0.10987142795305284,0.5953087095111418,0.3730244136530106
600012.SH,-0.006475681370131862,0.0001500121114794264,0.015187322779832086,0.006304251945740482,0.02518340041884712,0.021415044984084357,-0.0439879970426859,0.057396528798970184,0.042805387488214726,-0.06454066806728481,0.13328710199325436,0.14101312127421448,-0.6602767859941383,-0.11049923117827626,0.5973930225899552,0.38034674029926147
